time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/std,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
172,509,88064,43,0.8939893841743469,0.026953125,0.8954229354858398,420,-2.613574802875519,0.2,5.861919915676117,0.0047313096,-0.003295921569224447,1.3807402849197388,0.0003,-162.58641266666666,1200.0
175,513,90112,44,0.8940554857254028,0.010546875,0.9337307214736938,430,-2.613499993085861,0.2,4.960112273693085,0.0030883525,-0.0025178622920066117,1.6009080410003662,0.0003,-162.58641266666666,1200.0
181,509,92160,45,0.8938993215560913,0.01630859375,0.9407187700271606,440,-2.6135707914829256,0.2,4.978330343961716,0.0030138837,-0.0020227680273819716,1.3448213338851929,0.0003,-163.80139125,1200.0
183,513,94208,46,0.8943110704421997,0.003271484375,0.9464975595474243,450,-2.613560235500336,0.2,7.877064800262451,0.0030293718,-0.001044474437367171,2.6822237968444824,0.0003,-163.80139125,1200.0
189,508,96256,47,0.8939673900604248,0.02744140625,0.942200243473053,460,-2.614209604263306,0.2,1.832804697751999,0.0059887804,-0.0028464379836805167,0.5977326035499573,0.0003,-167.3358543,1200.0
191,512,98304,48,0.8935666084289551,0.03076171875,0.9200276136398315,470,-2.61282439827919,0.2,12.42114428281784,0.005191396,-0.0029129832051694392,4.3040876388549805,0.0003,-167.3358543,1200.0
194,516,100352,49,0.893332302570343,0.027392578125,0.9490518569946289,480,-2.6123382210731507,0.2,2.1629219114780427,0.0049253134,-0.004401787789538503,0.5226900577545166,0.0003,-167.3358543,1200.0
200,511,102400,50,0.8928478360176086,0.03828125,0.9534700512886047,490,-2.611798715591431,0.2,4.11387979388237,0.005947631,-0.004434979031793773,1.195913553237915,0.0003,-172.65885970238097,1200.0
202,515,104448,51,0.8918812274932861,0.002880859375,0.9373417496681213,500,-2.609971523284912,0.2,6.213011282682419,0.0029833545,-0.0010190182016231119,1.6371753215789795,0.0003,-172.65885970238097,1200.0
208,510,106496,52,0.8911871314048767,0.055126953125,0.9606590270996094,510,-2.6081598877906798,0.2,2.1526487678289414,0.007003631,-0.005419331940356642,0.602569043636322,0.0003,-168.45547412500002,1200.0
210,514,108544,53,0.8907673954963684,0.00947265625,0.9620245099067688,520,-2.6068450570106507,0.2,6.688850694894791,0.0027035773,-0.001398602791596204,2.2733981609344482,0.0003,-168.45547412500002,1200.0
216,510,110592,54,0.8900671601295471,0.041943359375,0.9355373978614807,530,-2.6056860625743865,0.2,2.147784024477005,0.005991998,-0.0028963975491933525,0.7129877805709839,0.0003,-165.50508217391305,1200.0
219,513,112640,55,0.8894333839416504,0.000390625,0.8559783697128296,540,-2.6038698256015778,0.2,8.21046124100685,0.0015214192,-0.00027979310834780335,2.1888821125030518,0.0003,-165.50508217391305,1200.0
221,516,114688,56,0.8885523080825806,0.02939453125,0.8947525024414062,550,-2.6025589168071748,0.2,1.6262376666069032,0.0043870993,-0.002313121478073299,0.39096102118492126,0.0003,-165.50508217391305,1200.0
227,512,116736,57,0.8885341882705688,0.0189453125,0.6315778493881226,560,-2.6009922206401823,0.2,4.472550785541534,0.0031516878,-0.0008408138295635581,1.4237987995147705,0.0003,-162.03607882291666,1200.0
230,516,118784,58,0.8886489868164062,0.010205078125,0.941766083240509,570,-2.601581209897995,0.2,4.201493248343468,0.0031092719,-0.0013311647460795939,1.0398235321044922,0.0003,-162.03607882291666,1200.0
235,512,120832,59,0.8884616494178772,0.010888671875,0.8121400475502014,580,-2.6013957977294924,0.2,1.3141602762043476,0.002860653,-0.0010650790063664317,0.255514532327652,0.0003,-159.0114328,1200.0
238,515,122880,60,0.8880214691162109,0.027587890625,0.9376227259635925,590,-2.6008044958114622,0.2,3.3084269791841505,0.0046750437,-0.0026219213963486255,0.9463353753089905,0.0003,-159.0114328,1200.0
244,511,124928,61,0.8880589008331299,0.009521484375,0.9320962429046631,600,-2.600022625923157,0.2,1.3614128887653352,0.0031297212,-0.0011755510233342648,0.3194895088672638,0.0003,-154.26675451,1200.0
247,514,126976,62,0.8883285522460938,0.012646484375,0.880236029624939,610,-2.600686091184616,0.2,3.6806833177804945,0.0037839047,-0.0020194123382680116,0.9004949331283569,0.0003,-154.26675451,1200.0
249,516,129024,63,0.8878697156906128,0.017333984375,0.9125820398330688,620,-2.600667816400528,0.2,2.40863256752491,0.0035145818,-0.002120336814550683,0.7454412579536438,0.0003,-154.26675451,1200.0
