scenario_id,axis,tier,vehicle_id,controller,seeds,progress_mean_m,success_rate,energy_mean
man-06-crash-stop,maneuvering,moderate,vehicle-b-rudder,mpc,1,5.2878886339664986,0,3.69255849776565
man-06-crash-stop,maneuvering,moderate,vehicle-c-azimuth,mpc,1,-0.04847223642485865,0,2.1501903462545124
env-01-beam-current,environment,simple,vehicle-a-otter,mpc,1,0.00008955870299720559,0,0.021500099335809167
env-01-beam-current,environment,simple,vehicle-b-rudder,mpc,1,0.000007965497917705733,0,0.021500011933287797
env-01-beam-current,environment,simple,vehicle-c-azimuth,mpc,1,-0.000023212549641993263,0,0.021500023243591668
env-02-following-current,environment,moderate,vehicle-a-otter,mpc,1,0.00004643427190753613,0,0.021500063019236668
env-02-following-current,environment,moderate,vehicle-b-rudder,mpc,1,0.000008242972947769545,0,0.021500012035879354
env-02-following-current,environment,moderate,vehicle-c-azimuth,mpc,1,-0.0209028714509345,0,2.1502513507369256
env-03-crosswind,environment,moderate,vehicle-a-otter,mpc,1,0.00004643427190753613,0,0.021500063019236668
env-03-crosswind,environment,moderate,vehicle-b-rudder,mpc,1,0.000008242972947769545,0,0.021500012035879354
env-03-crosswind,environment,moderate,vehicle-c-azimuth,mpc,1,-0.0209028714509345,0,2.1502513507369256
env-04-gust-front,environment,moderate,vehicle-a-otter,mpc,1,0.38477768040067506,0,1.2136891684337208
env-04-gust-front,environment,moderate,vehicle-b-rudder,mpc,1,0.9117192925060764,0,0.8217813116177665
env-04-gust-front,environment,moderate,vehicle-c-azimuth,mpc,1,0.004187994959099051,0,2.1503179006387385
env-05-regular-head-wave,environment,moderate,vehicle-a-otter,mpc,1,1.0607861138825254,0,2.187782792046402
env-05-regular-head-wave,environment,moderate,vehicle-b-rudder,mpc,1,2.0906943347114075,0,1.3648925680048034
env-05-regular-head-wave,environment,moderate,vehicle-c-azimuth,mpc,1,0.02022708426297104,0,2.1503659089205014
env-06-combined-wind-current-wave,environment,moderate,vehicle-a-otter,mpc,1,1.0720899285849734,0,2.1881515054870713
