time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/clip_fraction,train/learning_rate,train/std,train/entropy_loss,train/clip_range,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/loss
506,182,1199.18,344064,45,-268.29578625,1670,0.044482421875,0.0003,0.8406529426574707,-2.4891143918037413,0.2,0.9924721717834473,2.846910834312439,-0.003540575539227575,0.0059630936,0.6618248224258423
510,184,1199.18,346112,46,-268.29578625,1680,0.04619140625,0.0003,0.8410027027130127,-2.490383231639862,0.2,0.997506320476532,3.2024326086044312,-0.003867902816273272,0.00470234,1.4933371543884277
505,190,1199.18,348160,47,-271.80756338,1690,0.032666015625,0.0003,0.8413139581680298,-2.491086357831955,0.2,0.995336651802063,1.3049743883311749,-0.0020782945211976767,0.005079245,0.21538978815078735
509,193,1199.18,350208,48,-271.80756338,1700,0.03779296875,0.0003,0.8418233394622803,-2.4917396783828734,0.2,0.9953087568283081,9.533642530441284,-0.0031530519481748343,0.004907825,2.4470901489257812
513,195,1199.18,352256,49,-271.80756338,1710,0.02451171875,0.0003,0.8421853184700012,-2.4931231915950773,0.2,0.9947729706764221,0.5099538039416075,-0.002111687540309504,0.003644107,0.09150376915931702
508,201,1199.18,354304,50,-263.61410120999994,1720,0.069873046875,0.0003,0.8422080874443054,-2.493572121858597,0.2,0.9967595934867859,0.630326223000884,-0.003974975575692952,0.010382334,0.09970010817050934
512,203,1199.18,356352,51,-263.61410120999994,1730,0.03203125,0.0003,0.8396492600440979,-2.491146683692932,0.2,0.9973400235176086,1.013510286808014,-0.003617929120082408,0.0060309498,0.35096275806427
488,217,1195.78,358400,52,-255.96096293,1740,0.03583984375,0.0003,0.8382734060287476,-2.485563796758652,0.2,0.9903949499130249,2.9635988652706144,-0.0038770675542764365,0.005502384,0.664345383644104
491,220,1195.78,360448,53,-255.96096293,1750,0.01455078125,0.0003,0.837253212928772,-2.4835517704486847,0.2,0.8191432952880859,159.64291553497316,-0.0016080658650025725,0.004434,60.16682434082031
470,234,1195.18,362496,54,-257.62840498,1760,0.03583984375,0.0003,0.8384573459625244,-2.4821983218193053,0.2,0.996313214302063,0.7753667235374451,-0.004019463225267828,0.005492454,0.12024122476577759
474,237,1195.18,364544,55,-257.62840498,1770,0.06337890625,0.0003,0.8385406732559204,-2.4857708275318147,0.2,0.9528689980506897,65.23625555038453,-0.0032476922729983925,0.0038980215,21.175416946411133
471,243,1193.57,366592,56,-252.17506612,1780,0.0099609375,0.0003,0.8391246795654297,-2.485109156370163,0.2,0.9670563340187073,3.906282517313957,-0.0005848020780831575,0.002858732,1.6164417266845703
458,254,1193.57,368640,57,-256.99937923,1790,0.06845703125,0.0003,0.8394430875778198,-2.4871001720428465,0.2,0.966890811920166,41.58430129289627,-0.002089175092987716,0.0046914024,21.90443992614746
457,259,1194.39,370688,58,-262.10474525999996,1800,0.077685546875,0.0003,0.8377666473388672,-2.4855411827564238,0.2,0.9945546388626099,2.75090591609478,-0.003521725395694375,0.017110376,1.0564608573913574
445,271,1194.39,372736,59,-265.24358666,1810,0.03271484375,0.0003,0.8371078968048096,-2.4821578204631805,0.2,0.9888848662376404,4.528573328256607,-0.002080767205916345,0.00356094,1.3035926818847656
448,273,1194.39,374784,60,-265.24358666,1820,0.036865234375,0.0003,0.8357659578323364,-2.480693703889847,0.2,0.9982740879058838,1.5363174572587013,-0.0017523330287076532,0.0037796274,0.42067235708236694
433,288,1194.39,376832,61,-268.69954769,1830,0.057958984375,0.0003,0.8356746435165405,-2.4777032852172853,0.2,0.9880611896514893,9.502561795711518,-0.0015636332507710903,0.0043824706,3.995777130126953
