training_simulator,evaluation_condition,run_id,evaluation_seed,evaluation_simulator,vehicle,task_id,policy_id,algorithm,return,success,episode_length,wall_clock_s,termination_reason,collision_type,host_class
stonefish,nominal,stonefish__vehicle-a-otter__PPO-deterministic__seed-10010,10010,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,225.3080814112106,True,770,5.312544520944357,success,none,cluster
stonefish,nominal,stonefish__vehicle-a-otter__PPO-deterministic__seed-10011,10011,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,228.5159482045519,True,794,5.3844547644257545,success,none,cluster
stonefish,nominal,stonefish__vehicle-a-otter__PPO-deterministic__seed-10012,10012,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,227.2315277756023,True,762,5.295486934483051,success,none,cluster
stonefish,nominal,stonefish__vehicle-a-otter__PPO-deterministic__seed-10013,10013,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-121.9987372570912,False,550,4.991132482886314,instability,none,cluster
stonefish,nominal,stonefish__vehicle-a-otter__PPO-deterministic__seed-10014,10014,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,226.45608166266868,True,780,5.324636768549681,success,none,cluster
stonefish,nominal,stonefish__vehicle-a-otter__PPO-deterministic__seed-10015,10015,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,207.35185299192364,True,810,5.341584179550409,success,none,cluster
stonefish,nominal,stonefish__vehicle-a-otter__PPO-deterministic__seed-10016,10016,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-7.566613681530015,False,562,5.061305362731218,instability,none,cluster
stonefish,nominal,stonefish__vehicle-a-otter__PPO-deterministic__seed-10017,10017,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,236.70626252092973,True,770,5.279055420309305,success,none,cluster
stonefish,nominal,stonefish__vehicle-a-otter__PPO-deterministic__seed-10018,10018,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,209.92815836822922,True,878,5.463981561362743,success,none,cluster
stonefish,nominal,stonefish__vehicle-a-otter__PPO-deterministic__seed-10019,10019,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-89.08630171645535,False,314,4.662387724965811,instability,none,cluster
stonefish,nominal,stonefish__vehicle-a-otter__PPO-deterministic__seed-10020,10020,stonefish,vehicle-a-otter,common-waypoint-transit-v1,True,PPO-deterministic,PPO,230.68374861664435,True,798,5.403442781418562,success,none,cluster
